Experiment 1,,,,,,,,,,,,,,,,,
Not shown,,,,,,,,,,,,,,,,,
Experiment 4.2,0.0,38.0,0.0,35.8,11.9,3.9,0.2,37.1,51.4,48.8,31.3,41.9,2.8,70.1,12.6,0.0,0.0
Experiment 3,0.0,17.9,0.0,25.6,11.7,3.5,0.2,25.1,52.2,46.1,28.6,30.4,1.4,69.3,11.6,0.0,0.0
Difference,0.0,20.1,0.0,10.3,0.2,0.5,0.1,11.9,-0.7,2.7,2.8,11.4,1.4,0.8,1.0,0.0,0.0
Experiment 4.3,,,,,,,,,,,,,,,,,
All,,,,,,,,,,,,,,,,,
Experiment 4.3,70.9,49.2,67.7,69.8,38.7,39.1,40.9,49.2,56.5,57.9,52.0,37.4,55.7,76.0,54.7,2.9,6.3
Experiment 4.2,69.7,44.6,71.7,69.8,39.0,39.1,40.9,47.9,57.0,55.6,52.6,34.5,53.5,76.4,54.1,4.7,3.7
Difference,1.2,4.6,-3.9,0.0,-0.3,0.0,0.0,1.3,-0.4,2.3,-0.6,2.8,2.1,-0.4,0.7,-1.8,2.6
Visible,,,,,,,,,,,,,,,,,
Experiment 4.3,76.8,62.6,68.5,76.1,41.0,39.2,41.4,60.7,57.4,62.0,52.1,32.8,63.7,77.0,59.1,24.1,28.6
Experiment 4.2,75.7,59.1,72.5,76.1,41.5,39.2,41.4,59.4,57.9,59.0,53.0,29.7,60.9,77.3,58.3,27.7,24.8
Difference,1.0,3.5,-3.9,0.0,-0.5,0.0,0.0,1.3,-0.5,3.1,-0.9,3.1,2.7,-0.2,0.8,-3.6,3.8
Not shown,,,,,,,,,,,,,,,,,
Experiment 4.3,0.0,42.5,0.0,35.8,12.1,3.9,0.2,37.9,51.9,48.7,33.6,43.6,2.7,68.7,12.4,0.0,0.0
Experiment 4.2,0.0,38.0,0.0,35.8,11.9,3.9,0.2,37.1,51.4,48.8,31.3,41.9,2.8,70.1,12.6,0.0,0.0
Difference,0.0,4.5,0.0,0.0,0.2,0.0,0.0,0.8,0.5,-0.1,2.3,1.8,-0.1,-1.4,-0.1,0.0,0.0
Experiment 5,,,,,,,,,,,,,,,,,
All,,,,,,,,,,,,,,,,,
Experiment 5,77.7,61.3,72.4,69.7,40.1,39.1,41.0,53.9,63.7,58.7,54.2,40.6,56.9,78.3,54.1,3.9,4.5
